Monitoring Location ID,Monitoring Location Name,Monitoring Location Latitude,Monitoring Location Longitude,Monitoring Location Type,Activity Start Date,Result Status,Characteristic Name,Method Speciation,Sample Fraction,Result Value,Result Unit
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,40.1577293,-111.7913255,Lake,08-14-1990,Final,Total dissolved solids,,,1278,mg/l
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,40.1577293,-111.7913255,Lake,08-14-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,316.6,ug/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,08-14-1990,Final,Total dissolved solids,,,1262,mg/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,08-14-1990,Final,pH,,Total,7.8,None
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,08-14-1990,Final,"Depth, Secchi disk depth",,Total,0.113,m
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,08-14-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,43.9,ug/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,08-14-1990,Final,"Temperature, water",,,21.9,deg C
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,08-14-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.031,mg/l
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,08-14-1990,Final,"Temperature, water",,,22.8,deg C
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,08-14-1990,Final,Total dissolved solids,,,1262,mg/l
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,08-14-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,354.6,ug/l
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,08-14-1990,Final,"Depth, Secchi disk depth",,Total,0.113,m
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,08-14-1990,Final,pH,,Total,7.6,None
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,08-14-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.045,mg/l
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,08-14-1990,Final,"Depth, Secchi disk depth",,Total,0.125,m
4917370,UTAH LAKE 1 MI EAST OF PELICAN POINT,40.26828256,-111.8299304,Lake,08-14-1990,Final,Phosphate-phosphorus,as P,Total,0.101,mg/l
